Date,Open,High,Low,Close,Adj Close,Volume
2005-01-03,0.336802,0.336802,0.336134,0.336134,0.336134,0
2005-01-04,0.339766,0.339766,0.339766,0.336700,0.336700,0
2005-01-05,0.338078,0.338078,0.337154,0.337154,0.337154,0
2005-01-06,0.341076,0.341076,0.337041,0.337838,0.337838,0
2005-01-07,0.341367,0.341367,0.337838,0.337154,0.337154,0
2005-01-10,0.351902,0.351902,0.337268,0.337268,0.337268,0
2005-01-11,0.351976,0.351976,0.337838,0.337838,0.337838,0
2005-01-12,0.352224,0.352224,0.339559,0.339559,0.339559,0
2005-01-13,0.353744,0.353744,0.353744,0.340599,0.340599,0
2005-01-14,0.350508,0.350508,0.340832,0.337952,0.337952,0
2005-01-17,0.355303,0.355303,0.355303,0.355404,0.355404,0
2005-01-18,0.355316,0.355316,0.341880,0.341880,0.341880,0
2005-01-19,0.354384,0.354384,0.341297,0.341297,0.341297,0
2005-01-20,0.352063,0.352063,0.352063,0.352063,0.352063,0
2005-01-21,0.354108,0.354108,0.340252,0.340252,0.340252,0
2005-01-24,0.351692,0.351692,0.340136,0.341530,0.341530,0
2005-01-25,0.351877,0.351877,0.342583,0.343053,0.343053,0
2005-01-26,0.350103,0.350103,0.342466,0.342583,0.342583,0
2005-01-27,0.351877,0.351877,0.351877,0.351877,0.351877,0
2005-01-28,0.351235,0.356799,0.351235,0.356799,0.356799,0
2005-01-31,0.356519,0.356519,0.342583,0.342583,0.342583,0
2005-02-01,0.356850,0.356850,0.342936,0.342936,0.342936,0
2005-02-02,0.358115,0.358115,0.358115,0.357054,0.357054,0
2005-02-03,0.356519,0.356519,0.356519,0.342466,0.342466,0
2005-02-04,0.355227,0.355227,0.342818,0.342936,0.342936,0
2005-02-07,0.358000,0.358000,0.342936,0.342936,0.342936,0
2005-02-08,0.355278,0.355278,0.343053,0.343171,0.343171,0
2005-02-09,0.358809,0.358809,0.343997,0.344116,0.344116,0
2005-02-10,0.359118,0.359118,0.359118,0.343643,0.343643,0
2005-02-11,0.358654,0.358654,0.358654,0.343643,0.343643,0
2005-02-14,0.358629,0.358629,0.358629,0.358629,0.358629,0
2005-02-15,0.358307,0.358307,0.358307,0.358307,0.358307,0
2005-02-16,0.359686,0.359686,0.344947,0.344947,0.344947,0
2005-02-17,0.361233,0.361233,0.361233,0.361233,0.361233,0
2005-02-18,0.359350,0.359350,0.359350,0.360503,0.360503,0
2005-02-21,0.357961,0.357961,0.357961,0.357961,0.357961,0
2005-02-22,0.357731,0.357731,0.342583,0.342583,0.342583,0
2005-02-23,0.357092,0.357092,0.357092,0.357092,0.357092,0
2005-02-24,0.355454,0.355454,0.355454,0.341297,0.341297,0
