Date,Open,High,Low,Close,Adj Close,Volume
2005-01-03,2.657948,2.658938,2.652801,2.653928,2.653928,0
2005-01-04,2.721903,2.721903,2.652801,2.653928,2.653928,0
2005-01-05,2.707532,2.707532,2.652801,2.653928,2.653928,0
2005-01-06,2.657313,2.659787,2.652801,2.652872,2.652872,0
2005-01-07,2.653928,2.659362,2.652801,2.653928,2.653928,0
2005-01-10,2.657666,2.662832,2.652801,2.653928,2.653928,0
2005-01-11,2.657737,2.658443,2.652590,2.653928,2.653928,0
2005-01-12,2.653928,2.659362,2.652590,2.653928,2.653928,0
2005-01-13,2.657948,2.658938,2.652661,2.653928,2.653928,0
2005-01-14,2.737551,2.737551,2.652801,2.652801,2.652801,0
2005-01-17,2.763576,2.763576,2.652801,2.653928,2.653928,0
2005-01-18,2.658231,2.658938,2.652801,2.653928,2.653928,0
2005-01-19,2.760982,2.760982,2.652801,2.653928,2.653928,0
2005-01-20,2.657737,2.658443,2.652801,2.653928,2.653928,0
2005-01-21,2.658231,2.659221,2.652801,2.652801,2.652801,0
2005-01-24,2.658655,2.658797,2.652801,2.653928,2.653928,0
2005-01-25,2.657807,2.658514,2.652801,2.653928,2.653928,0
2005-01-26,2.749821,2.749821,2.652801,2.653928,2.653928,0
2005-01-27,2.657948,2.658867,2.652661,2.653928,2.653928,0
2005-01-28,2.760372,2.760372,2.652590,2.652661,2.652661,0
2005-01-31,2.762202,2.762202,2.652590,2.653928,2.653928,0
2005-02-01,2.657737,2.658443,2.652590,2.653928,2.653928,0
2005-02-02,2.774618,2.774618,2.652590,2.653928,2.653928,0
2005-02-03,2.657948,2.658655,2.652661,2.653928,2.653928,0
2005-02-04,2.658090,2.664322,2.652520,2.652661,2.652661,0
2005-02-07,2.658090,2.658726,2.652590,2.653928,2.653928,0
2005-02-08,2.748461,2.748461,2.652590,2.653928,2.653928,0
2005-02-09,2.774618,2.774618,2.652590,2.653928,2.653928,0
2005-02-10,2.658231,2.660565,2.652590,2.653928,2.653928,0
2005-02-11,2.658161,2.658161,2.652590,2.652590,2.652590,0
2005-02-14,2.657666,2.659716,2.653928,2.653928,2.653928,0
2005-02-15,2.657807,2.658938,2.652590,2.653928,2.653928,0
2005-02-16,2.777469,2.777469,2.652590,2.653928,2.653928,0
2005-02-17,2.657737,2.659928,2.652590,2.653928,2.653928,0
2005-02-18,2.658019,2.659362,2.652590,2.652590,2.652590,0
2005-02-21,2.658019,2.659645,2.656042,2.653928,2.653928,0
2005-02-22,2.658090,2.660211,2.652590,2.653928,2.653928,0
2005-02-23,2.657737,2.658585,2.652590,2.653928,2.653928,0
2005-02-24,2.658161,2.659575,2.652590,2.653928,2.653928,0
2005-02-25,2.750956,2.750956,2.652661,2.657595,2.657595,0
2005-02-28,2.657878,2.658161,2.652590,2.653928,2.653928,0
2005-03-01,2.752167,2.752167,2.652590,2.653928,2.653928,0
2005-03-02,2.657807,2.658655,2.652590,2.653928,2.653928,0
2005-03-03,2.766864,2.766864,2.652661,2.653928,2.653928,0
2005-03-04,2.756112,2.756112,2.652590,2.791503,2.791503,0
2005-03-07,2.658231,2.658726,2.657666,2.657807,2.657807,0
2005-03-08,2.657948,2.659999,2.653928,2.653928,2.653928,0
2005-03-09,2.658302,2.658797,2.653928,2.653928,2.653928,0
2005-03-10,2.769930,2.769930,2.653928,2.653928,2.653928,0
2005-03-11,2.759610,2.759610,2.655831,2.657807,2.657807,0
2005-03-14,2.657384,2.658161,2.653928,2.653928,2.653928,0
2005-03-15,2.657595,2.659221,2.655760,2.653928,2.653928,0
2005-03-16,2.658019,2.658231,2.653928,2.653928,2.653928,0
2005-03-17,2.657948,2.659292,2.652590,2.652590,2.652590,0
2005-03-18,2.652661,2.658443,2.652590,2.652661,2.652661,0
2005-03-21,2.652661,2.658231,2.652590,2.653928,2.653928,0
2005-03-22,2.652661,2.659221,2.652590,2.653928,2.653928,0
2005-03-23,2.740477,2.740477,2.652590,2.652590,2.652590,0
2005-03-24,2.652661,2.658655,2.652590,2.653928,2.653928,0
2005-03-25,2.652661,2.652661,2.652590,2.652590,2.652590,0
2005-03-28,2.652590,2.652731,2.652590,2.653928,2.653928,0
2005-03-29,2.652590,2.658726,2.652590,2.653928,2.653928,0
2005-03-30,2.652661,2.659292,2.652590,2.653928,2.653928,0
2005-03-31,2.652661,2.659504,2.652590,2.652590,2.652590,0
2005-04-01,2.652661,2.663612,2.652590,2.652590,2.652590,0
2005-04-04,2.652661,2.658372,2.652590,2.653928,2.653928,0
2005-04-05,2.652661,2.658655,2.652590,2.653928,2.653928,0
2005-04-06,2.652661,2.660636,2.652590,2.652661,2.652661,0
2005-04-07,2.653928,2.658726,2.652590,2.653928,2.653928,0
2005-04-08,2.652661,2.659009,2.652590,2.652590,2.652590,0
2005-04-11,2.652590,2.659080,2.652590,2.653928,2.653928,0
2005-04-12,2.652590,2.658302,2.652590,2.653928,2.653928,0
2005-04-13,2.652590,2.658514,2.652590,2.653928,2.653928,0
2005-04-14,2.652590,2.659080,2.652590,2.653928,2.653928,0
2005-04-15,2.652661,2.658797,2.652590,2.652661,2.652661,0
2005-04-18,2.652590,2.658867,2.652590,2.653928,2.653928,0
2005-04-19,2.652590,2.659999,2.652590,2.653928,2.653928,0
2005-04-20,2.652661,2.659292,2.652590,2.653928,2.653928,0
2005-04-21,2.652590,2.658797,2.652590,2.653928,2.653928,0
2005-04-22,2.652661,2.658655,2.652590,2.652590,2.652590,0
2005-04-25,2.652661,2.658231,2.652590,2.653928,2.653928,0
2005-04-26,2.652590,2.658655,2.652590,2.653928,2.653928,0
2005-04-27,2.652661,2.658726,2.652590,2.653928,2.653928,0
2005-04-28,2.652590,2.658655,2.652590,2.653928,2.653928,0
2005-04-29,2.652590,2.659009,2.652590,2.652590,2.652590,0
2005-05-02,2.744313,2.744313,2.652590,2.653928,2.653928,0
2005-05-03,2.652661,2.659504,2.652590,2.653928,2.653928,0
2005-05-04,2.652590,2.659150,2.652590,2.653928,2.653928,0
2005-05-05,2.652801,2.653928,2.652590,2.653928,2.653928,0
2005-05-06,2.652590,2.659221,2.652590,2.652661,2.652661,0
2005-05-09,2.652661,2.658938,2.652590,2.652590,2.652590,0
2005-05-10,2.652661,2.659858,2.652590,2.653928,2.653928,0
2005-05-11,2.652661,2.659999,2.652590,2.653928,2.653928,0
2005-05-12,2.652661,2.659999,2.652590,2.653928,2.653928,0
2005-05-13,2.652661,2.658514,2.652590,2.652661,2.652661,0
2005-05-16,2.652731,2.653998,2.652661,2.653928,2.653928,0
2005-05-17,2.652661,2.658867,2.652590,2.653928,2.653928,0
