Date,Open,High,Low,Close,Adj Close,Volume
2010-10-14,3.384324,3.384324,3.384324,3.384324,3.384324,0
2010-10-15,3.379634,3.379634,3.379634,3.379634,3.379634,0
2010-10-18,3.373478,3.390175,3.373478,3.390175,3.390175,0
2010-10-19,3.371544,3.371544,3.371544,3.371544,3.371544,0
2010-10-20,3.365304,3.365304,3.365304,3.365304,3.365304,0
2010-10-21,3.370408,3.370408,3.370408,3.370408,3.370408,0
2010-10-22,3.368478,3.368478,3.368478,3.368478,3.368478,0
2010-10-25,3.373250,3.492108,3.373250,3.492108,3.492108,0
2010-10-26,3.365983,3.365983,3.365983,3.365983,3.365983,0
2010-10-27,3.359989,3.359989,3.359989,3.359989,3.359989,0
2010-10-28,3.360102,3.360102,3.360102,3.360102,3.360102,0
2010-10-29,3.358409,3.358409,3.358409,3.358409,3.358409,0
2010-11-01,3.359312,3.359312,3.359312,3.359312,3.359312,0
2010-11-02,3.357733,3.357733,3.357733,3.357733,3.357733,0
2010-11-03,3.349186,3.349186,3.349186,3.349186,3.349186,0
2010-11-04,3.367343,3.378150,3.349298,3.353791,3.353791,0
2010-11-05,3.351431,3.351431,3.346384,3.346384,3.346384,0
2010-11-08,3.348401,3.353229,3.348401,3.353229,3.353229,0
2010-11-09,3.345600,3.345600,3.345600,3.345600,3.345600,0
2010-11-10,3.340460,3.340460,3.340460,3.340460,3.340460,0
2010-11-11,3.339567,3.339567,3.339567,3.339567,3.339567,0
2010-11-12,3.337450,3.337450,3.337450,3.337450,3.337450,0
2010-11-15,3.333333,3.339344,3.333333,3.339344,3.339344,0
2010-11-16,3.329893,3.329893,3.329893,3.329893,3.329893,0
2010-11-17,3.306441,3.330114,3.302728,3.330114,3.330114,0
2010-11-18,3.333444,3.333444,3.333444,3.333444,3.333444,0
2010-11-19,3.342358,3.342358,3.342358,3.342358,3.342358,0
2010-11-22,3.342358,3.342358,3.336893,3.336893,3.336893,0
2010-11-23,3.342134,3.342134,3.342134,3.342134,3.342134,0
2010-11-24,3.345824,3.345824,3.345824,3.345824,3.345824,0
2010-11-25,3.339121,3.339121,3.339121,3.339121,3.339121,0
2010-11-26,3.339010,3.339010,3.339010,3.339010,3.339010,0
2010-11-29,3.340348,3.340348,3.340013,3.340013,3.340013,0
2010-11-30,3.336893,3.336893,3.336893,3.336893,3.336893,0
2010-12-01,3.339344,3.339344,3.339344,3.339344,3.339344,0
2010-12-02,3.339121,3.339121,3.339121,3.339121,3.339121,0
2010-12-03,3.346832,3.346832,3.346832,3.346832,3.346832,0
