Date,Open,High,Low,Close,Adj Close,Volume
2005-01-03,1.021617,1.031002,1.021617,1.031002,1.031002,0
2005-01-04,1.028870,1.030567,1.028722,1.030567,1.030567,0
2005-01-05,1.023091,1.031428,1.023091,1.031428,1.031428,0
2005-01-06,1.030184,1.031002,1.030184,1.031002,1.031002,0
2005-01-07,1.031002,1.031002,1.018911,1.018911,1.018911,0
2005-01-10,1.038896,1.038896,1.038896,1.038896,1.038896,0
2005-01-11,1.039026,1.039026,1.039026,1.039026,1.039026,0
2005-01-12,1.040020,1.040020,1.040020,1.040020,1.040020,0
2005-01-13,1.038972,1.038972,1.038972,1.038972,1.038972,0
2005-01-14,1.029431,1.039371,1.029431,1.039371,1.039371,0
2005-01-17,1.039814,1.039814,1.039566,1.039566,1.039566,0
2005-01-18,1.039728,1.039728,1.039728,1.039728,1.039728,0
2005-01-19,1.037065,1.040431,1.037065,1.040431,1.040431,0
2005-01-20,1.039988,1.039988,1.039988,1.039988,1.039988,0
2005-01-21,1.038778,1.038778,1.038778,1.038778,1.038778,0
2005-01-24,1.038670,1.038670,1.038670,1.038670,1.038670,0
2005-01-25,1.039923,1.039923,1.039923,1.039923,1.039923,0
2005-01-26,1.034736,1.039652,1.034736,1.039652,1.039652,0
2005-01-27,1.039717,1.039717,1.039717,1.039717,1.039717,0
2005-01-28,1.037732,1.039598,1.037732,1.039598,1.039598,0
2005-01-31,1.038637,1.040020,1.038637,1.040020,1.040020,0
2005-02-01,1.040139,1.040139,1.040139,1.040139,1.040139,0
2005-02-02,1.043852,1.043852,1.040290,1.040290,1.040290,0
2005-02-03,1.039739,1.039739,1.039739,1.039739,1.039739,0
2005-02-04,1.035658,1.040648,1.035658,1.040648,1.040648,0
2005-02-07,1.040572,1.040572,1.040572,1.040572,1.040572,0
2005-02-08,1.032567,1.041352,1.032567,1.041352,1.041352,0
2005-02-09,1.042981,1.042981,1.040518,1.040518,1.040518,0
2005-02-10,1.040312,1.040312,1.040312,1.040312,1.040312,0
2005-02-11,1.041146,1.041146,1.041146,1.041146,1.041146,0
2005-02-14,1.040215,1.040215,1.040215,1.040215,1.040215,0
2005-02-15,1.040539,1.040539,1.040539,1.040539,1.040539,0
2005-02-16,1.044506,1.044506,1.040139,1.040139,1.040139,0
2005-02-17,1.039663,1.039663,1.039663,1.039663,1.039663,0
2005-02-18,1.039663,1.043057,1.039663,1.043057,1.043057,0
2005-02-21,1.039804,1.039804,1.039804,1.039804,1.039804,0
2005-02-22,1.039069,1.039069,1.039069,1.039069,1.039069,0
2005-02-23,1.039069,1.039069,1.039069,1.039069,1.039069,0
2005-02-24,1.038767,1.038767,1.038023,1.038023,1.038023,0
2005-02-25,1.034180,1.038583,1.034180,1.038583,1.038583,0
2005-02-28,1.039923,1.039923,1.039923,1.039923,1.039923,0
2005-03-01,1.035015,1.038907,1.035015,1.038907,1.038907,0
2005-03-02,1.040009,1.040009,1.040009,1.040009,1.040009,0
2005-03-03,1.041439,1.041439,1.040193,1.040193,1.040193,0
2005-03-04,1.036592,1.049880,1.036592,1.049880,1.049880,0
2005-03-07,1.039771,1.039771,1.039771,1.039771,1.039771,0
2005-03-08,1.039220,1.039220,1.039220,1.039220,1.039220,0
