Date,Open,High,Low,Close,Adj Close,Volume
2007-07-11,1.111593,1.113090,1.107555,1.108451,1.108451,0
2007-07-12,1.108402,1.111914,1.099070,1.100909,1.100909,0
2007-07-13,1.100946,1.101309,1.096660,1.097454,1.097454,0
2007-07-16,1.096660,1.102135,1.096022,1.100570,1.100570,0
2007-07-17,1.100497,1.102135,1.097454,1.099203,1.099203,0
2007-07-18,1.099239,1.102548,1.098032,1.101540,1.101540,0
2007-07-19,1.101625,1.103728,1.100219,1.101249,1.101249,0
2007-07-20,1.101334,1.102135,1.094511,1.098044,1.098044,0
2007-07-23,1.098286,1.099082,1.095398,1.095963,1.095963,0
2007-07-24,1.095963,1.102998,1.095794,1.101370,1.101370,0
2007-07-25,1.101249,1.101334,1.084846,1.086708,1.086708,0
2007-07-26,1.086661,1.096335,1.085246,1.095062,1.095062,0
2007-07-27,1.094906,1.096323,1.086425,1.093912,1.093912,0
2007-07-30,1.093506,1.097538,1.093028,1.097105,1.097105,0
2007-07-31,1.097105,1.100994,1.095782,1.097021,1.097021,0
2007-08-01,1.096900,1.099795,1.094931,1.097117,1.097117,0
2007-08-02,1.097033,1.097153,1.088092,1.092085,1.092085,0
2007-08-03,1.092085,1.101904,1.090560,1.099469,1.099469,0
2007-08-06,1.102013,1.103814,1.095494,1.096443,1.096443,0
2007-08-07,1.096527,1.100461,1.095674,1.095999,1.095999,0
2007-08-08,1.095914,1.102718,1.094715,1.101043,1.101043,0
2007-08-09,1.100958,1.102038,1.081549,1.082450,1.082450,0
2007-08-10,1.082333,1.091084,1.080719,1.089645,1.089645,0
2007-08-13,1.089847,1.095410,1.086307,1.091203,1.091203,0
2007-08-14,1.091286,1.099034,1.087761,1.094152,1.094152,0
2007-08-15,1.093984,1.094068,1.087524,1.087891,1.087891,0
2007-08-16,1.088045,1.092992,1.084117,1.092049,1.092049,0
2007-08-17,1.092132,1.095890,1.088530,1.092335,1.092335,0
2007-08-20,1.092013,1.096215,1.090881,1.094595,1.094595,0
2007-08-21,1.094188,1.097514,1.084505,1.084505,1.084505,0
2007-08-22,1.084505,1.100449,1.084187,1.099602,1.099602,0
2007-08-23,1.099638,1.103010,1.082111,1.082310,1.082310,0
2007-08-24,1.082310,1.092705,1.082157,1.091107,1.091107,0
2007-08-27,1.091787,1.093386,1.090227,1.091143,1.091143,0
2007-08-28,1.091107,1.095914,1.089906,1.090310,1.090310,0
2007-08-29,1.090394,1.092633,1.084211,1.088743,1.088743,0
2007-08-30,1.088589,1.093745,1.083412,1.092466,1.092466,0
2007-08-31,1.092622,1.098442,1.090715,1.092085,1.092085,0
2007-09-03,1.091679,1.094475,1.091000,1.092669,1.092669,0
2007-09-04,1.092669,1.093673,1.082896,1.088045,1.088045,0
2007-09-05,1.087926,1.089277,1.081748,1.087725,1.087725,0
2007-09-06,1.087772,1.088969,1.082872,1.086567,1.086567,0
2007-09-07,1.086685,1.093350,1.084305,1.091798,1.091798,0
2007-09-10,null,null,null,null,null,null
2007-09-11,1.089776,1.091477,1.080742,1.082696,1.082696,0
2007-09-12,1.082509,1.088530,1.079354,1.082345,1.082345,0
2007-09-13,1.082462,1.089455,1.080590,1.086708,1.086708,0
2007-09-14,1.086673,1.088708,1.075199,1.077412,1.077412,0
2007-09-17,1.076716,1.090287,1.075743,1.088601,1.088601,0
2007-09-18,1.088601,1.098865,1.085965,1.098165,1.098165,0
2007-09-19,1.098165,1.098756,1.083271,1.085446,1.085446,0
2007-09-20,1.085482,1.092395,1.078958,1.082966,1.082966,0
2007-09-21,1.082649,1.085847,1.075870,1.079319,1.079319,0
2007-09-24,1.079238,1.084034,1.079086,1.080462,1.080462,0
2007-09-25,1.080462,1.089170,1.079739,1.089087,1.089087,0
2007-09-26,1.088945,1.090013,1.085164,1.086626,1.086626,0
2007-09-27,1.086543,1.088696,1.077064,1.078063,1.078063,0
2007-09-28,1.078132,1.081116,1.073653,1.080205,1.080205,0
2007-10-01,1.080579,1.081069,1.072593,1.074183,1.074183,0
2007-10-02,1.074183,1.074368,1.068034,1.072168,1.072168,0
2007-10-03,1.072317,1.075766,1.067247,1.068228,1.068228,0
2007-10-04,1.068114,1.081631,1.066906,1.080719,1.080719,0
2007-10-05,1.080871,1.085623,1.076496,1.083741,1.083741,0
2007-10-08,1.084858,1.085164,1.079890,1.080625,1.080625,0
2007-10-09,1.080696,1.080964,1.071536,1.077377,1.077377,0
2007-10-10,1.077447,1.080544,1.070068,1.071008,1.071008,0
2007-10-11,1.071008,1.084881,1.070790,1.082029,1.082029,0
2007-10-12,1.082029,1.084493,1.079820,1.082966,1.082966,0
2007-10-15,1.081444,1.086980,1.075084,1.075651,1.075651,0
2007-10-16,1.075616,1.084399,1.071455,1.083330,1.083330,0
2007-10-17,1.083177,1.085505,1.081993,1.084787,1.084787,0
2007-10-18,1.084669,1.088791,1.080462,1.083576,1.083576,0
