Date,Open,High,Low,Close,Adj Close,Volume
2005-01-03,0.016183,0.016279,0.016175,0.016279,0.016279,0
2005-01-04,0.016565,0.016565,0.015999,0.016095,0.016095,0
2005-01-05,0.016320,0.016320,0.015921,0.016015,0.016015,0
2005-01-06,0.015974,0.015974,0.015890,0.015949,0.015949,0
2005-01-07,0.015875,0.015920,0.015770,0.015949,0.015949,0
2005-01-10,0.015777,0.015793,0.015777,0.015787,0.015787,0
2005-01-11,0.015842,0.015925,0.015817,0.015926,0.015926,0
2005-01-12,0.015912,0.016012,0.015847,0.016039,0.016039,0
2005-01-13,0.015999,0.016117,0.015950,0.016023,0.016023,0
2005-01-14,0.016271,0.016271,0.015928,0.015987,0.015987,0
2005-01-17,0.015981,0.016111,0.015978,0.016074,0.016074,0
2005-01-18,0.016066,0.016123,0.015985,0.016036,0.016036,0
2005-01-19,0.016035,0.016139,0.016004,0.016119,0.016119,0
2005-01-20,0.016028,0.016069,0.015905,0.015921,0.015921,0
2005-01-21,0.015917,0.016000,0.015892,0.015939,0.015939,0
2005-01-24,0.015977,0.016124,0.015961,0.016063,0.016063,0
2005-01-25,0.016069,0.016077,0.015927,0.015949,0.015949,0
2005-01-26,0.015948,0.016076,0.015945,0.016050,0.016050,0
2005-01-27,0.016059,0.016120,0.015995,0.016092,0.016092,0
2005-01-28,0.016093,0.016228,0.016065,0.016144,0.016144,0
2005-01-31,0.016118,0.016179,0.016046,0.016169,0.016169,0
2005-02-01,0.016168,0.016265,0.016141,0.016287,0.016287,0
2005-02-02,0.016254,0.016337,0.016221,0.016287,0.016287,0
2005-02-03,0.016261,0.016261,0.016036,0.016053,0.016053,0
2005-02-04,0.016053,0.016068,0.015827,0.015835,0.015835,0
2005-02-07,0.015826,0.015894,0.015773,0.015848,0.015848,0
2005-02-08,0.015793,0.015807,0.015647,0.015798,0.015798,0
2005-02-09,0.015758,0.015864,0.015742,0.015835,0.015835,0
2005-02-10,0.015827,0.015962,0.015810,0.015967,0.015967,0
2005-02-11,0.015930,0.015974,0.015902,0.015921,0.015921,0
2005-02-14,0.015948,0.016038,0.015942,0.015967,0.015967,0
2005-02-15,0.015993,0.016100,0.015977,0.016084,0.016084,0
2005-02-16,0.016089,0.016140,0.016042,0.016041,0.016041,0
2005-02-17,0.016144,0.016189,0.016073,0.016168,0.016168,0
2005-02-18,0.016174,0.016226,0.016160,0.016185,0.016185,0
2005-02-21,0.016208,0.016385,0.016177,0.016332,0.016332,0
2005-02-22,0.016327,0.016483,0.016321,0.016434,0.016434,0
2005-02-23,0.016440,0.016458,0.016392,0.016434,0.016434,0
2005-02-24,0.016400,0.016482,0.016395,0.016434,0.016434,0
2005-02-25,0.016428,0.016502,0.016390,0.016500,0.016500,0
