Date,Open,High,Low,Close,Adj Close,Volume
2013-10-24,3.000000,3.000000,3.000000,3.000000,3.000000,800
2013-10-25,3.000000,3.000000,3.000000,3.000000,3.000000,0
2013-10-28,3.000000,3.000000,3.000000,3.000000,3.000000,0
2013-10-29,3.000000,3.000000,3.000000,3.000000,3.000000,0
2013-10-30,3.000000,3.000000,3.000000,3.000000,3.000000,0
2013-10-31,3.000000,3.000000,3.000000,3.000000,3.000000,0
2013-11-01,3.000000,3.000000,3.000000,3.000000,3.000000,0
2013-11-04,3.000000,3.000000,3.000000,3.000000,3.000000,2100
2013-11-05,3.000000,3.000000,3.000000,3.000000,3.000000,0
2013-11-06,3.000000,3.000000,3.000000,3.000000,3.000000,0
2013-11-07,3.000000,3.000000,3.200000,3.200000,3.200000,2800
2013-11-08,3.200000,3.200000,3.200000,3.200000,3.200000,200
2013-11-11,3.200000,3.200000,3.200000,3.200000,3.200000,0
2013-11-12,3.200000,3.200000,3.200000,3.200000,3.200000,0
2013-11-13,3.200000,3.200000,5.000000,5.000000,5.000000,112800
2013-11-14,5.000000,3.000000,5.000000,3.000000,3.000000,3800
2013-11-15,3.000000,3.000000,5.000000,5.000000,5.000000,5000
2013-11-18,4.250000,4.250000,5.000000,5.000000,5.000000,2500
2013-11-19,5.000000,5.000000,10.000000,9.000000,9.000000,27200
2013-11-20,9.000000,9.000000,9.000000,9.000000,9.000000,2200
2013-11-21,9.000000,9.000000,9.000000,9.000000,9.000000,85000
2013-11-22,9.000000,9.000000,11.000000,10.000000,10.000000,65800
2013-11-25,10.000000,10.000000,13.999999,12.000000,12.000000,232800
2013-11-26,12.000000,11.000000,20.500000,20.500000,20.500000,763400
2013-11-27,20.500000,20.500000,50.000000,35.989998,35.989998,1486400
2013-11-28,35.989998,35.989998,65.000000,46.099998,46.099998,1300100
2013-11-29,46.099998,30.200001,50.000000,41.000000,41.000000,1173000
2013-12-02,35.299999,29.800001,40.500000,33.509998,33.509998,362000
2013-12-03,33.509998,32.000000,36.400002,33.000000,33.000000,716900
2013-12-04,33.000000,31.000000,43.000000,32.200001,32.200001,2097400
2013-12-05,32.200001,29.000000,42.990002,38.000000,38.000000,2429100
2013-12-06,38.000000,32.000000,39.199997,32.000000,32.000000,702000
2013-12-09,27.930000,27.000000,32.590000,31.980001,31.980001,360200
2013-12-10,31.980001,31.980001,36.600002,35.259998,35.259998,732700
2013-12-11,35.259998,28.779999,35.259998,31.570002,31.570002,1379700
2013-12-12,31.570002,30.980001,32.930000,31.000000,31.000000,145900
2013-12-13,31.000000,30.010000,33.000000,30.590000,30.590000,391900
2013-12-16,30.920002,25.000000,32.130001,25.770000,25.770000,341900
2013-12-17,25.770000,20.010000,29.000000,23.740002,23.740002,520000
2013-12-18,23.740002,8.477000,23.740002,12.999999,12.999999,1448500
2013-12-19,12.999999,12.999999,20.000000,19.800001,19.800001,78100
2013-12-20,19.800001,17.220001,22.000000,18.850000,18.850000,116800
2013-12-23,18.000000,16.730000,18.740000,17.199999,17.199999,405000
2013-12-24,17.199999,17.199999,18.000000,18.000000,18.000000,94400
2013-12-25,18.000000,17.500000,22.059999,22.059999,22.059999,599400
2013-12-26,22.059999,21.900000,25.000000,24.969999,24.969999,2420300
2013-12-27,24.969999,22.000000,24.969999,22.059999,22.059999,741600
2013-12-30,24.510000,23.160000,25.180000,24.959999,24.959999,464600
2013-12-31,24.959999,23.550001,24.980000,23.550001,23.550001,31500
2014-01-01,23.550001,23.550001,25.000000,24.769999,24.769999,204800
2014-01-02,24.769999,23.879999,26.599998,26.599998,26.599998,481800
2014-01-03,26.599998,24.099998,26.599998,25.490002,25.490002,80700
2014-01-06,26.010000,22.230000,31.259998,28.699999,28.699999,1299500
2014-01-07,28.699999,23.000000,29.709999,23.000000,23.000000,931800
2014-01-08,23.000000,22.190001,25.999998,24.900002,24.900002,569000
2014-01-09,24.900002,24.000000,25.790001,24.500000,24.500000,39300
2014-01-10,24.500000,24.000000,25.790001,24.060001,24.060001,88500
2014-01-13,25.390001,24.000000,26.309999,25.010000,25.010000,2087800
2014-01-14,25.010000,24.000000,25.010000,24.520000,24.520000,21300
2014-01-15,24.520000,24.389999,25.469999,24.520000,24.520000,47100
2014-01-16,24.520000,24.010000,25.370001,24.010000,24.010000,174800
