Date,Open,High,Low,Close,Adj Close,Volume
2005-01-03,0.014215,0.014342,0.014215,0.014342,0.014342,0
2005-01-04,0.014311,0.014329,0.014310,0.014329,0.014329,0
2005-01-05,0.014225,0.014347,0.014225,0.014347,0.014347,0
2005-01-06,0.014330,0.014338,0.014330,0.014338,0.014338,0
2005-01-07,0.014343,0.014343,0.014173,0.014173,0.014173,0
2005-01-10,0.014497,0.014497,0.014497,0.014497,0.014497,0
2005-01-11,0.014498,0.014498,0.014498,0.014498,0.014498,0
2005-01-12,0.014505,0.014505,0.014505,0.014505,0.014505,0
2005-01-13,0.014496,0.014496,0.014496,0.014496,0.014496,0
2005-01-14,0.014364,0.014505,0.014364,0.014505,0.014505,0
2005-01-17,0.014500,0.014507,0.014500,0.014507,0.014507,0
2005-01-18,0.014504,0.014504,0.014504,0.014504,0.014504,0
2005-01-19,0.014467,0.014509,0.014467,0.014509,0.014509,0
2005-01-20,0.014510,0.014510,0.014510,0.014510,0.014510,0
2005-01-21,0.014493,0.014493,0.014493,0.014493,0.014493,0
2005-01-24,0.014495,0.014495,0.014495,0.014495,0.014495,0
2005-01-25,0.014503,0.014503,0.014503,0.014503,0.014503,0
2005-01-26,0.014429,0.014509,0.014429,0.014509,0.014509,0
2005-01-27,0.014503,0.014503,0.014503,0.014503,0.014503,0
2005-01-28,0.014476,0.014505,0.014476,0.014505,0.014505,0
2005-01-31,0.014494,0.014505,0.014494,0.014505,0.014505,0
2005-02-01,0.014507,0.014507,0.014507,0.014507,0.014507,0
2005-02-02,0.014559,0.014559,0.014509,0.014509,0.014509,0
2005-02-03,0.014499,0.014499,0.014499,0.014499,0.014499,0
2005-02-04,0.014448,0.014517,0.014448,0.014517,0.014517,0
2005-02-07,0.014522,0.014522,0.014522,0.014522,0.014522,0
2005-02-08,0.014421,0.014526,0.014421,0.014526,0.014526,0
2005-02-09,0.014558,0.014558,0.014515,0.014515,0.014515,0
2005-02-10,0.014516,0.014516,0.014516,0.014516,0.014516,0
2005-02-11,0.014523,0.014523,0.014523,0.014523,0.014523,0
2005-02-14,0.014507,0.014507,0.014507,0.014507,0.014507,0
2005-02-15,0.014513,0.014513,0.014513,0.014513,0.014513,0
2005-02-16,0.014569,0.014569,0.014515,0.014515,0.014515,0
2005-02-17,0.014507,0.014507,0.014507,0.014507,0.014507,0
2005-02-18,0.014505,0.014553,0.014505,0.014553,0.014553,0
2005-02-21,0.014507,0.014507,0.014507,0.014507,0.014507,0
2005-02-22,0.014500,0.014500,0.014500,0.014500,0.014500,0
2005-02-23,0.014498,0.014498,0.014498,0.014498,0.014498,0
2005-02-24,0.014495,0.014495,0.014484,0.014484,0.014484,0
2005-02-25,0.014433,0.014488,0.014433,0.014488,0.014488,0
2005-02-28,0.014506,0.014506,0.014506,0.014506,0.014506,0
2005-03-01,0.014438,0.014494,0.014438,0.014494,0.014494,0
2005-03-02,0.014505,0.014505,0.014505,0.014505,0.014505,0
2005-03-03,0.014524,0.014524,0.014511,0.014511,0.014511,0
2005-03-04,0.014461,0.014642,0.014461,0.014642,0.014642,0
2005-03-07,0.014504,0.014504,0.014504,0.014504,0.014504,0
2005-03-08,0.014493,0.014493,0.014493,0.014493,0.014493,0
2005-03-09,0.014474,0.014474,0.014474,0.014474,0.014474,0
2005-03-10,0.014533,0.014533,0.014492,0.014492,0.014492,0
2005-03-11,0.014497,0.014497,0.014488,0.014488,0.014488,0
2005-03-14,0.014497,0.014500,0.014497,0.014500,0.014500,0
2005-03-15,0.014483,0.014483,0.014483,0.014483,0.014483,0
2005-03-16,0.014496,0.014496,0.014496,0.014496,0.014496,0
2005-03-17,0.014485,0.014485,0.014485,0.014485,0.014485,0
2005-03-18,0.014490,0.014490,0.014490,0.014490,0.014490,0
2005-03-21,0.014427,0.014501,0.014427,0.014501,0.014501,0
2005-03-22,0.014500,0.014500,0.014500,0.014500,0.014500,0
2005-03-23,0.014378,0.014497,0.014378,0.014497,0.014497,0
2005-03-24,0.014518,0.014518,0.014518,0.014518,0.014518,0
2005-03-25,0.014300,0.014300,0.014300,0.014300,0.014300,0
2005-03-28,0.014271,0.014312,0.014260,0.014287,0.014287,0
2005-03-29,0.014513,0.014513,0.014513,0.014513,0.014513,0
2005-03-30,0.014508,0.014508,0.014508,0.014508,0.014508,0
2005-03-31,0.014481,0.014513,0.014481,0.014513,0.014513,0
2005-04-01,0.014512,0.014512,0.014512,0.014512,0.014512,0
2005-04-04,0.014514,0.014514,0.014514,0.014514,0.014514,0
2005-04-05,0.014516,0.014516,0.014516,0.014516,0.014516,0
2005-04-06,0.014589,0.014589,0.014511,0.014511,0.014511,0
2005-04-07,0.014505,0.014505,0.014505,0.014505,0.014505,0
2005-04-08,0.014521,0.014521,0.014521,0.014521,0.014521,0
2005-04-11,0.014620,0.014620,0.014517,0.014517,0.014517,0
2005-04-12,0.014507,0.014507,0.014507,0.014507,0.014507,0
2005-04-13,0.014518,0.014518,0.014518,0.014518,0.014518,0
2005-04-14,0.014522,0.014522,0.014522,0.014522,0.014522,0
2005-04-15,0.014517,0.014517,0.014517,0.014517,0.014517,0
2005-04-18,0.014584,0.014584,0.014501,0.014501,0.014501,0
2005-04-19,0.014554,0.014554,0.014520,0.014520,0.014520,0
2005-04-20,0.014498,0.014562,0.014498,0.014562,0.014562,0
