Date,Open,High,Low,Close,Adj Close,Volume
2005-01-03,0.333511,0.333511,0.333511,0.337041,0.337041,0
2005-01-04,0.336293,0.336293,0.336112,0.335672,0.335672,0
2005-01-05,0.333233,0.333233,0.333233,0.337063,0.337063,0
2005-01-06,0.336780,0.336780,0.336780,0.338089,0.338089,0
2005-01-07,0.335976,0.335976,0.335976,0.331994,0.331994,0
2005-01-10,0.339351,0.339351,0.339351,0.339351,0.339351,0
2005-01-11,0.339351,0.339351,0.339351,0.339351,0.339351,0
2005-01-12,0.339547,0.339547,0.339547,0.339547,0.339547,0
2005-01-13,0.340426,0.340426,0.340426,0.340426,0.340426,0
2005-01-14,0.337325,0.337325,0.337325,0.340727,0.340727,0
2005-01-17,0.340611,0.340611,0.340611,0.341763,0.341763,0
2005-01-18,0.341460,0.341460,0.341460,0.341460,0.341460,0
2005-01-19,0.340576,0.340576,0.340576,0.340797,0.340797,0
2005-01-20,0.340866,0.340866,0.340866,0.340866,0.340866,0
2005-01-21,0.340310,0.340310,0.340310,0.340310,0.340310,0
2005-01-24,0.340171,0.340171,0.340171,0.340171,0.340171,0
2005-01-25,0.338398,0.338398,0.338398,0.338398,0.338398,0
2005-01-26,0.336666,0.336666,0.336666,0.341915,0.341915,0
2005-01-27,0.338409,0.338409,0.338409,0.338409,0.338409,0
2005-01-28,0.337735,0.339536,0.337735,0.339536,0.339536,0
2005-01-31,0.339271,0.339271,0.339271,0.339524,0.339524,0
2005-02-01,0.339582,0.339582,0.339582,0.339582,0.339582,0
2005-02-02,0.340785,0.340785,0.340785,0.339628,0.339628,0
2005-02-03,0.341018,0.341018,0.341018,0.341018,0.341018,0
2005-02-04,0.339847,0.339847,0.339847,0.341437,0.341437,0
2005-02-07,0.339916,0.339916,0.339916,0.339916,0.339916,0
2005-02-08,0.337336,0.337336,0.337336,0.341099,0.341099,0
2005-02-09,0.341834,0.341834,0.341834,0.341740,0.341740,0
2005-02-10,0.341087,0.341087,0.341087,0.341087,0.341087,0
2005-02-11,0.341041,0.341041,0.341041,0.341041,0.341041,0
2005-02-14,0.341448,0.341448,0.341448,0.341448,0.341448,0
2005-02-15,0.341565,0.341565,0.341565,0.341565,0.341565,0
2005-02-16,0.342912,0.342912,0.342912,0.341180,0.341180,0
2005-02-17,0.341122,0.341122,0.341122,0.341122,0.341122,0
2005-02-18,0.340727,0.340727,0.340727,0.341857,0.341857,0
2005-02-21,0.341309,0.341309,0.341309,0.341309,0.341309,0
2005-02-22,0.340808,0.340808,0.340808,0.340808,0.340808,0
2005-02-23,0.341134,0.341134,0.341134,0.341134,0.341134,0
2005-02-24,0.341822,0.341822,0.341822,0.341553,0.341553,0
2005-02-25,0.340333,0.340333,0.340333,0.342936,0.342936,0
2005-02-28,0.342595,0.342595,0.342595,0.342595,0.342595,0
2005-03-01,0.341052,0.341052,0.341052,0.342689,0.342689,0
2005-03-02,0.342889,0.342889,0.342889,0.342889,0.342889,0
2005-03-03,0.343194,0.343194,0.343194,0.341320,0.341320,0
2005-03-04,0.340136,0.340136,0.340136,0.344507,0.344507,0
2005-03-07,0.337906,0.337906,0.337906,0.337906,0.337906,0
2005-03-08,0.339271,0.339271,0.339271,0.339271,0.339271,0
2005-03-09,0.337963,0.337963,0.337963,0.337963,0.337963,0
2005-03-10,0.339340,0.339340,0.339340,0.338398,0.338398,0
2005-03-11,0.338501,0.338501,0.338501,0.339179,0.339179,0
2005-03-14,0.343194,0.343194,0.343194,0.343253,0.343253,0
2005-03-15,0.341763,0.341763,0.341763,0.341763,0.341763,0
2005-03-16,0.339340,0.339340,0.339340,0.339340,0.339340,0
2005-03-17,0.340148,0.340148,0.340148,0.340148,0.340148,0
2005-03-18,0.340148,0.340148,0.340148,0.340148,0.340148,0
2005-03-21,0.340148,0.340148,0.336995,0.336995,0.336995,0
2005-03-22,0.336995,0.337496,0.336598,0.340936,0.340936,0
2005-03-23,0.338043,0.338043,0.332005,0.336995,0.336995,0
2005-03-24,0.336598,0.336598,0.330000,0.330000,0.330000,0
2005-03-25,0.330000,0.330000,0.330000,0.330000,0.330000,0
2005-03-28,0.330000,0.332005,0.330000,0.332005,0.332005,0
2005-03-29,0.332005,0.340252,0.327998,0.332005,0.332005,0
2005-03-30,0.332005,0.332005,0.332005,0.332005,0.332005,0
2005-03-31,0.332005,0.337496,0.332005,0.337302,0.337302,0
2005-04-01,0.337302,0.337302,0.336496,0.336496,0.336496,0
2005-04-04,0.336496,0.337496,0.332005,0.332005,0.332005,0
2005-04-05,0.336995,0.337598,0.336995,0.337598,0.337598,0
2005-04-06,0.337598,0.338501,0.334001,0.334001,0.334001,0
2005-04-07,0.334001,0.338501,0.334001,0.336995,0.336995,0
2005-04-08,0.336995,0.336995,0.336995,0.336995,0.336995,0
2005-04-11,0.336496,0.337998,0.333600,0.333600,0.333600,0
2005-04-12,0.333600,0.337998,0.333600,0.336995,0.336995,0
2005-04-13,0.336995,0.337998,0.336995,0.336995,0.336995,0
2005-04-14,0.336995,0.338203,0.336995,0.337496,0.337496,0
2005-04-15,0.337496,0.337998,0.337302,0.337302,0.337302,0
2005-04-18,0.329500,0.331005,0.329500,0.331005,0.331005,0
2005-04-19,0.331005,0.331005,0.331005,0.331005,0.331005,0
2005-04-20,0.337998,0.337998,0.331005,0.336995,0.336995,0
2005-04-21,0.337998,0.337998,0.330000,0.330000,0.330000,0
2005-04-22,0.337998,0.338501,0.337200,0.337200,0.337200,0
2005-04-25,0.337200,0.337200,0.336995,0.336995,0.336995,0
2005-04-26,0.336995,0.336995,0.336995,0.336995,0.336995,0
2005-04-27,0.336995,0.337804,0.331005,0.331005,0.331005,0
2005-04-28,0.336995,0.337998,0.327000,0.337998,0.337998,0
2005-04-29,0.337998,0.338203,0.327998,0.337804,0.337804,0
2005-05-02,0.337314,0.337314,0.337200,0.337200,0.337200,0
2005-05-03,0.337804,0.337998,0.336995,0.337804,0.337804,0
2005-05-04,0.337804,0.340148,0.330000,0.337998,0.337998,0
2005-05-05,0.337998,0.337998,0.330502,0.330502,0.330502,0
2005-05-06,0.337200,0.338295,0.337200,0.337302,0.337302,0
2005-05-09,0.337200,0.338295,0.337200,0.338295,0.338295,0
2005-05-10,0.338295,0.338295,0.325998,0.331005,0.331005,0
2005-05-11,0.337496,0.338203,0.337302,0.337302,0.337302,0
2005-05-12,0.337302,0.338501,0.330000,0.330000,0.330000,0
2005-05-13,0.330000,0.337998,0.330000,0.337998,0.337998,0
2005-05-16,0.336995,0.338101,0.336995,0.337998,0.337998,0
2005-05-17,0.337998,0.337998,0.337200,0.337200,0.337200,0
2005-05-18,0.337200,0.337598,0.337200,0.337200,0.337200,0
2005-05-19,0.336995,0.336995,0.336995,0.336995,0.336995,0
2005-05-20,0.337895,0.337895,0.337895,0.337895,0.337895,0
2005-05-23,0.337804,0.337804,0.336995,0.337598,0.337598,0
2005-05-24,0.336905,0.339928,0.336905,0.337998,0.337998,0
2005-05-25,0.337998,0.339743,0.337701,0.337701,0.337701,0
2005-05-26,0.337701,0.337998,0.337701,0.337998,0.337998,0
2005-05-27,0.337998,0.337998,0.337302,0.337302,0.337302,0
2005-05-30,0.337496,0.337496,0.330000,0.330000,0.330000,0
2005-05-31,0.337302,0.337302,0.336995,0.336995,0.336995,0
2005-06-01,0.336995,0.336995,0.336995,0.336995,0.336995,0
2005-06-02,0.337405,0.337405,0.336995,0.336995,0.336995,0
2005-06-03,0.336995,0.337200,0.336995,0.337200,0.337200,0
2005-06-06,0.337200,0.337200,0.337200,0.337200,0.337200,0
2005-06-07,0.337200,0.339674,0.337200,0.337200,0.337200,0
2005-06-08,0.337200,0.337598,0.337200,0.337302,0.337302,0
2005-06-09,0.337302,0.337598,0.337200,0.337598,0.337598,0
2005-06-10,0.337598,0.337598,0.336995,0.336995,0.336995,0
2005-06-13,0.336995,0.337496,0.336995,0.337496,0.337496,0
2005-06-14,0.337496,0.337895,0.337200,0.337804,0.337804,0
2005-06-15,0.337598,0.337998,0.332005,0.337496,0.337496,0
2005-06-16,0.337496,0.337998,0.337405,0.337998,0.337998,0
2005-06-17,0.337701,0.337701,0.335300,0.335300,0.335300,0
2005-06-20,0.337098,0.337998,0.337098,0.337998,0.337998,0
2005-06-21,0.337998,0.337998,0.332005,0.332005,0.332005,0
2005-06-22,0.337804,0.337804,0.337701,0.337701,0.337701,0
2005-06-23,0.337701,0.337701,0.336995,0.337496,0.337496,0
2005-06-24,0.337496,0.337895,0.337098,0.337895,0.337895,0
2005-06-27,0.337998,0.340808,0.337098,0.337098,0.337098,0
2005-06-28,0.338398,0.340913,0.337598,0.337804,0.337804,0
2005-06-29,0.337701,0.337998,0.337701,0.337998,0.337998,0
2005-06-30,0.337998,0.337998,0.337804,0.337804,0.337804,0
2005-07-01,0.337804,0.337804,0.337804,0.337804,0.337804,0
2005-07-04,0.337496,0.337598,0.337405,0.337598,0.337598,0
2005-07-05,0.337598,0.337895,0.337302,0.337895,0.337895,0
2005-07-06,0.337895,0.337998,0.337598,0.337998,0.337998,0
2005-07-07,0.337998,0.337998,0.337496,0.337895,0.337895,0
2005-07-08,0.337895,0.337998,0.337895,0.337998,0.337998,0
2005-07-11,0.337998,0.337998,0.337804,0.337804,0.337804,0
2005-07-12,0.337804,0.337804,0.337405,0.337405,0.337405,0
2005-07-13,0.337895,0.337895,0.337200,0.337804,0.337804,0
