Date,Open,High,Low,Close,Adj Close,Volume
2005-01-03,0.017819,0.017864,0.017819,0.017864,0.017864,0
2005-01-04,0.017838,0.017864,0.017813,0.017864,0.017864,0
2005-01-05,0.017832,0.017832,0.017800,0.017864,0.017864,0
2005-01-06,0.017825,0.017873,0.017800,0.017864,0.017864,0
2005-01-07,0.017817,0.017835,0.017806,0.017864,0.017864,0
2005-01-10,0.017838,0.017849,0.017838,0.017838,0.017838,0
2005-01-11,0.017872,0.017878,0.017857,0.017883,0.017883,0
2005-01-12,0.017879,0.017936,0.017879,0.017883,0.017883,0
2005-01-13,0.017986,0.018014,0.017969,0.017969,0.017969,0
2005-01-14,0.018010,0.018010,0.017915,0.017915,0.017915,0
2005-01-17,0.017942,0.018051,0.017942,0.018047,0.018047,0
2005-01-18,0.018003,0.018051,0.017995,0.018051,0.018051,0
2005-01-19,0.018010,0.018051,0.018002,0.018051,0.018051,0
2005-01-20,0.018072,0.018075,0.018044,0.018051,0.018051,0
2005-01-21,0.018040,0.018044,0.018018,0.018025,0.018025,0
2005-01-24,0.018096,0.018096,0.018051,0.018051,0.018051,0
2005-01-25,0.018108,0.018108,0.018051,0.018051,0.018051,0
2005-01-26,0.018073,0.018108,0.018051,0.018051,0.018051,0
2005-01-27,0.018154,0.018174,0.018051,0.018051,0.018051,0
2005-01-28,0.018174,0.018190,0.018155,0.018162,0.018162,0
2005-01-31,0.018179,0.018190,0.018162,0.018051,0.018051,0
2005-02-01,0.018243,0.018250,0.018051,0.018051,0.018051,0
2005-02-02,0.018205,0.018228,0.018051,0.018051,0.018051,0
2005-02-03,0.018242,0.018282,0.018051,0.018051,0.018051,0
2005-02-04,0.018303,0.018357,0.018288,0.018288,0.018288,0
2005-02-07,0.018362,0.018399,0.018328,0.018399,0.018399,0
2005-02-08,0.018355,0.018399,0.018190,0.018399,0.018399,0
2005-02-09,0.018215,0.018282,0.018175,0.018245,0.018245,0
2005-02-10,0.018287,0.018342,0.018248,0.018342,0.018342,0
2005-02-11,0.018292,0.018298,0.018275,0.018275,0.018275,0
2005-02-14,0.018357,0.018379,0.018342,0.018342,0.018342,0
2005-02-15,0.018335,0.018355,0.018288,0.018342,0.018342,0
2005-02-16,0.018305,0.018305,0.018172,0.018225,0.018225,0
2005-02-17,0.018262,0.018275,0.018225,0.018225,0.018225,0
2005-02-18,0.018332,0.018342,0.018305,0.018328,0.018328,0
2005-02-21,0.018285,0.018288,0.018232,0.018285,0.018285,0
2005-02-22,0.018297,0.018372,0.018297,0.018372,0.018372,0
2005-02-23,0.018340,0.018372,0.018305,0.018372,0.018372,0
2005-02-24,0.018322,0.018372,0.018282,0.018372,0.018372,0
2005-02-25,0.018298,0.018327,0.018297,0.018327,0.018327,0
2005-02-28,0.018313,0.018372,0.018305,0.018372,0.018372,0
2005-03-01,0.018323,0.018372,0.018268,0.018372,0.018372,0
2005-03-02,0.018302,0.018335,0.018265,0.018335,0.018335,0
2005-03-03,0.018295,0.018335,0.018232,0.018335,0.018335,0
2005-03-04,0.018255,0.018268,0.018202,0.018255,0.018255,0
2005-03-07,0.018293,0.018328,0.018293,0.018340,0.018340,0
2005-03-08,0.018321,0.018362,0.018295,0.018362,0.018362,0
2005-03-09,0.018394,0.018442,0.018362,0.018362,0.018362,0
2005-03-10,0.018425,0.018482,0.018362,0.018362,0.018362,0
2005-03-11,0.018466,0.018527,0.018466,0.018527,0.018527,0
2005-03-14,0.018570,0.018599,0.018561,0.018567,0.018567,0
2005-03-15,0.018519,0.018567,0.018489,0.018567,0.018567,0
2005-03-16,0.018549,0.018579,0.018549,0.018567,0.018567,0
2005-03-17,0.018572,0.018594,0.018515,0.018567,0.018567,0
2005-03-18,0.018519,0.018519,0.018411,0.018450,0.018450,0
2005-03-21,0.018450,0.018567,0.018399,0.018460,0.018460,0
2005-03-22,0.018460,0.018567,0.018447,0.018567,0.018567,0
2005-03-23,0.018517,0.018567,0.018454,0.018467,0.018467,0
2005-03-24,0.018467,0.018495,0.018457,0.018464,0.018464,0
2005-03-25,0.018464,0.018467,0.018464,0.018464,0.018464,0
2005-03-28,0.018467,0.018467,0.018365,0.018372,0.018372,0
2005-03-29,0.018372,0.018372,0.018298,0.018467,0.018467,0
2005-03-30,0.018328,0.018382,0.018248,0.018382,0.018382,0
2005-03-31,0.018315,0.018349,0.018198,0.018262,0.018262,0
2005-04-01,0.018262,0.018340,0.018198,0.018272,0.018272,0
2005-04-04,0.018272,0.018349,0.018240,0.018295,0.018295,0
2005-04-05,0.018295,0.018332,0.018238,0.018349,0.018349,0
2005-04-06,0.018282,0.018386,0.018272,0.018386,0.018386,0
2005-04-07,0.018298,0.018391,0.018243,0.018386,0.018386,0
2005-04-08,0.018332,0.018359,0.018312,0.018332,0.018332,0
2005-04-11,0.018332,0.018459,0.018330,0.018491,0.018491,0
2005-04-12,0.018425,0.018504,0.018425,0.018491,0.018491,0
2005-04-13,0.018467,0.018560,0.018467,0.018491,0.018491,0
2005-04-14,0.018512,0.018512,0.018386,0.018409,0.018409,0
2005-04-15,0.018409,0.018409,0.018288,0.018345,0.018345,0
2005-04-18,0.018285,0.018491,0.018277,0.018335,0.018335,0
2005-04-19,0.018335,0.018416,0.018322,0.018491,0.018491,0
2005-04-20,0.018409,0.018491,0.018396,0.018423,0.018423,0
2005-04-21,0.018423,0.018460,0.018335,0.018460,0.018460,0
2005-04-22,0.018376,0.018493,0.018328,0.018467,0.018467,0
2005-04-25,0.018460,0.018527,0.018460,0.018491,0.018491,0
2005-04-26,0.018501,0.018501,0.018396,0.018491,0.018491,0
2005-04-27,0.018416,0.018443,0.018327,0.018491,0.018491,0
2005-04-28,0.018406,0.018442,0.018387,0.018491,0.018491,0
2005-04-29,0.018413,0.018519,0.018365,0.018519,0.018519,0
2005-05-02,0.018529,0.018529,0.018471,0.018491,0.018491,0
2005-05-03,0.018477,0.018512,0.018457,0.018491,0.018491,0
2005-05-04,0.018464,0.018536,0.018464,0.018501,0.018501,0
