Date,Open,High,Low,Close,Adj Close,Volume
2005-01-03,0.025860,0.025860,0.025517,0.025704,0.025704,0
2005-01-04,0.025718,0.025793,0.025510,0.025598,0.025598,0
2005-01-05,0.025532,0.025658,0.025478,0.025583,0.025583,0
2005-01-06,0.025585,0.025615,0.025465,0.025510,0.025510,0
2005-01-07,0.025508,0.025664,0.025478,0.025565,0.025565,0
2005-01-10,0.025593,0.025629,0.025478,0.025592,0.025592,0
2005-01-11,0.025600,0.025684,0.025482,0.025678,0.025678,0
2005-01-12,0.025574,0.025813,0.025562,0.025676,0.025676,0
2005-01-13,0.025726,0.025965,0.025706,0.025810,0.025810,0
2005-01-14,0.025896,0.025979,0.025692,0.025823,0.025823,0
2005-01-17,0.025913,0.026082,0.025882,0.025977,0.025977,0
2005-01-18,0.025971,0.026089,0.025940,0.026017,0.026017,0
2005-01-19,0.026041,0.026117,0.025967,0.026001,0.026001,0
2005-01-20,0.025991,0.026035,0.025906,0.025976,0.025976,0
2005-01-21,0.025912,0.025995,0.025888,0.025990,0.025990,0
2005-01-24,0.025950,0.026108,0.025934,0.026015,0.026015,0
2005-01-25,0.026055,0.026079,0.025901,0.025951,0.025951,0
2005-01-26,0.025928,0.026044,0.025903,0.025999,0.025999,0
2005-01-27,0.026006,0.026063,0.025946,0.025994,0.025994,0
2005-01-28,0.026031,0.026091,0.025945,0.026025,0.026025,0
2005-01-31,0.026020,0.026101,0.025917,0.025959,0.025959,0
2005-02-01,0.025944,0.025979,0.025871,0.025952,0.025952,0
2005-02-02,0.025910,0.026086,0.025909,0.026015,0.026015,0
2005-02-03,0.026045,0.026079,0.025925,0.026008,0.026008,0
2005-02-04,0.026004,0.026192,0.025959,0.026104,0.026104,0
2005-02-07,0.026106,0.026254,0.026102,0.026171,0.026171,0
2005-02-08,0.026123,0.026125,0.025934,0.026057,0.026057,0
2005-02-09,0.025961,0.026055,0.025839,0.025940,0.025940,0
2005-02-10,0.025942,0.026001,0.025839,0.025966,0.025966,0
2005-02-11,0.025956,0.026019,0.025891,0.026023,0.026023,0
2005-02-14,0.025967,0.026123,0.025956,0.025994,0.025994,0
2005-02-15,0.026099,0.026123,0.026011,0.026067,0.026067,0
2005-02-16,0.026063,0.026080,0.025931,0.026057,0.026057,0
2005-02-17,0.025998,0.026108,0.025929,0.025981,0.025981,0
2005-02-18,0.025944,0.026005,0.025912,0.025991,0.025991,0
2005-02-21,0.025959,0.025991,0.025890,0.025956,0.025956,0
2005-02-22,0.025950,0.026164,0.025939,0.026118,0.026118,0
2005-02-23,0.026080,0.026120,0.025963,0.026070,0.026070,0
2005-02-24,0.025996,0.026116,0.025988,0.026082,0.026082,0
2005-02-25,0.026013,0.026199,0.026011,0.026074,0.026074,0
2005-02-28,0.026078,0.026196,0.026078,0.026130,0.026130,0
2005-03-01,0.026143,0.026186,0.026098,0.026149,0.026149,0
2005-03-02,0.026147,0.026162,0.026043,0.026104,0.026104,0
2005-03-03,0.026083,0.026102,0.026000,0.026015,0.026015,0
2005-03-04,0.026011,0.026089,0.025961,0.026067,0.026067,0
2005-03-07,0.026061,0.026123,0.026036,0.026068,0.026068,0
2005-03-08,0.026059,0.026160,0.026059,0.026125,0.026125,0
2005-03-09,0.026146,0.026192,0.026100,0.026134,0.026134,0
