Date,Open,High,Low,Close,Adj Close,Volume
2005-01-03,0.835701,0.844167,0.834725,0.733945,0.733945,0
2005-01-04,0.837731,0.837731,0.830151,0.733945,0.733945,0
2005-01-05,0.830220,0.830220,0.829738,0.733945,0.733945,0
2005-01-06,0.829738,0.829738,0.824063,0.733945,0.733945,0
2005-01-07,0.824742,0.826720,0.819471,0.733945,0.733945,0
2005-01-10,0.822030,0.822030,0.822030,0.822030,0.822030,0
2005-01-11,0.824946,0.824946,0.824946,0.733945,0.733945,0
2005-01-12,0.823384,0.830220,0.822707,0.830220,0.830220,0
2005-01-13,0.828844,0.828844,0.828844,0.828844,0.828844,0
2005-01-14,0.828844,0.828844,0.823452,0.823452,0.823452,0
2005-01-17,0.823452,0.823452,0.733945,0.733945,0.733945,0
2005-01-18,0.820412,0.820412,0.733945,0.733945,0.733945,0
2005-01-19,0.818733,0.824742,0.733945,0.733945,0.733945,0
2005-01-20,0.818398,0.818398,0.733945,0.733945,0.733945,0
2005-01-21,0.821355,0.821355,0.814996,0.823249,0.823249,0
2005-01-24,0.822639,0.822639,0.733945,0.733945,0.733945,0
2005-01-25,0.821828,0.821828,0.733945,0.733945,0.733945,0
2005-01-26,0.815195,0.817862,0.733945,0.733945,0.733945,0
2005-01-27,0.822233,0.823791,0.733945,0.733945,0.733945,0
2005-01-28,0.817795,0.820681,0.817795,0.819336,0.819336,0
2005-01-31,0.819336,0.819538,0.819336,0.733945,0.733945,0
2005-02-01,0.819672,0.819672,0.733945,0.733945,0.733945,0
2005-02-02,0.819672,0.822707,0.733945,0.733945,0.733945,0
2005-02-03,0.819538,0.819672,0.733945,0.733945,0.733945,0
2005-02-04,0.819135,0.819135,0.815661,0.815661,0.815661,0
2005-02-07,0.813339,0.813603,0.807885,0.733945,0.733945,0
2005-02-08,0.811754,0.811754,0.808407,0.801603,0.801603,0
2005-02-09,0.808407,0.810110,0.801603,0.801603,0.801603,0
2005-02-10,0.809848,0.816527,0.801603,0.801603,0.801603,0
2005-02-11,0.808538,0.815328,0.808538,0.812744,0.812744,0
2005-02-14,0.816193,0.816193,0.816193,0.801603,0.801603,0
2005-02-15,0.816326,0.821760,0.801603,0.801603,0.801603,0
2005-02-16,0.815794,0.818733,0.801603,0.801603,0.801603,0
2005-02-17,0.818532,0.818532,0.801603,0.801603,0.801603,0
2005-02-18,0.819672,0.819672,0.819135,0.819135,0.819135,0
2005-02-21,0.818599,0.818599,0.801603,0.801603,0.801603,0
2005-02-22,0.824063,0.826037,0.801603,0.801603,0.801603,0
2005-02-23,0.826583,0.826583,0.801603,0.801603,0.801603,0
2005-02-24,0.826993,0.826993,0.801603,0.801603,0.801603,0
2005-02-25,0.826993,0.826993,0.822301,0.822301,0.822301,0
2005-02-28,0.827746,0.827746,0.801603,0.801603,0.801603,0
2005-03-01,0.827746,0.827746,0.801603,0.801603,0.801603,0
2005-03-02,0.821355,0.821355,0.801603,0.801603,0.801603,0
2005-03-03,0.821355,0.821355,0.801603,0.801603,0.801603,0
2005-03-04,0.820749,0.826037,0.817661,0.826037,0.826037,0
2005-03-07,0.823995,0.823995,0.823995,0.823995,0.823995,0
2005-03-08,0.825082,0.830703,0.825082,0.801603,0.801603,0
2005-03-09,0.829669,0.829669,0.801603,0.801603,0.801603,0
2005-03-10,0.829669,0.831808,0.801603,0.801603,0.801603,0
2005-03-11,0.831808,0.832154,0.831808,0.832154,0.832154,0
2005-03-14,0.832570,0.832570,0.801603,0.801603,0.801603,0
2005-03-15,0.828981,0.828981,0.801603,0.801603,0.801603,0
2005-03-16,0.827678,0.827678,0.801603,0.801603,0.801603,0
2005-03-17,0.830220,0.830220,0.819605,0.820883,0.820883,0
2005-03-18,0.820951,0.822707,0.814863,0.817595,0.817595,0
2005-03-21,0.817127,0.826105,0.808342,0.807754,0.807754,0
2005-03-22,0.810767,0.819941,0.807820,0.801603,0.801603,0
2005-03-23,0.820951,0.820951,0.801346,0.802568,0.802568,0
2005-03-24,0.802568,0.811952,0.799424,0.801603,0.801603,0
2005-03-25,0.798913,0.801732,0.798913,0.801154,0.801154,0
2005-03-28,0.800192,0.800384,0.796495,0.801603,0.801603,0
2005-03-29,0.798212,0.808865,0.797194,0.801603,0.801603,0
2005-03-30,0.800448,0.801603,0.796559,0.801603,0.801603,0
2005-03-31,0.797703,0.808016,0.796686,0.801603,0.801603,0
2005-04-01,0.801282,0.813802,0.795545,0.798722,0.798722,0
2005-04-04,0.797766,0.799041,0.794407,0.801603,0.801603,0
2005-04-05,0.795292,0.797639,0.792958,0.801603,0.801603,0
2005-04-06,0.795672,0.797894,0.794786,0.795862,0.795862,0
2005-04-07,0.801603,0.801603,0.791891,0.801603,0.801603,0
2005-04-08,0.792079,0.801025,0.790014,0.799105,0.799105,0
2005-04-11,0.800064,0.806972,0.796876,0.801603,0.801603,0
2005-04-12,0.800769,0.802246,0.796052,0.801603,0.801603,0
2005-04-13,0.798658,0.800512,0.795925,0.801603,0.801603,0
2005-04-14,0.799424,0.801539,0.792644,0.801603,0.801603,0
2005-04-15,0.793273,0.803536,0.793147,0.797766,0.797766,0
2005-04-18,0.796369,0.806387,0.796369,0.801603,0.801603,0
2005-04-19,0.803729,0.805153,0.801218,0.801603,0.801603,0
2005-04-20,0.804376,0.806452,0.800641,0.805477,0.805477,0
2005-04-21,0.805672,0.806972,0.803277,0.801603,0.801603,0
2005-04-22,0.803729,0.805997,0.802439,0.805023,0.805023,0
2005-04-25,0.802182,0.804894,0.800512,0.801603,0.801603,0
2005-04-26,0.804829,0.811030,0.800192,0.801603,0.801603,0
2005-04-27,0.803019,0.814067,0.798403,0.801603,0.801603,0
2005-04-28,0.802761,0.809258,0.797957,0.801603,0.801603,0
2005-04-29,0.803213,0.812942,0.797894,0.800384,0.800384,0
2005-05-02,0.808342,0.809192,0.797575,0.801603,0.801603,0
2005-05-03,0.797766,0.801796,0.796876,0.801603,0.801603,0
2005-05-04,0.801154,0.813670,0.799424,0.801603,0.801603,0
2005-05-05,0.801475,0.803536,0.799744,0.801603,0.801603,0
2005-05-06,0.800769,0.809389,0.794029,0.795735,0.795735,0
2005-05-09,0.798339,0.803665,0.792142,0.795418,0.795418,0
2005-05-10,0.797766,0.803665,0.792267,0.801603,0.801603,0
2005-05-11,0.797130,0.803213,0.791828,0.792079,0.792079,0
2005-05-12,0.793210,0.796432,0.786473,0.786535,0.786535,0
2005-05-13,0.788333,0.796495,0.782779,0.784621,0.784621,0
2005-05-16,0.785855,0.785916,0.781739,0.782718,0.782718,0
2005-05-17,0.784621,0.785855,0.781433,0.781372,0.781372,0
2005-05-18,0.781372,0.791703,0.781067,0.801603,0.801603,0
2005-05-19,0.784006,0.801603,0.782595,0.801603,0.801603,0
