Date,Open,High,Low,Close,Adj Close,Volume
2017-05-17,9900.990234,9900.990234,9803.921875,9803.921875,9803.921875,0
2017-05-18,null,null,null,null,null,null
2017-05-19,null,null,null,null,null,null
2017-05-22,null,null,null,null,null,null
2017-05-23,null,null,null,null,null,null
2017-05-24,null,null,null,null,null,null
2017-05-25,null,null,null,null,null,null
2017-05-26,null,null,null,null,null,null
2017-05-29,9900.990234,9900.990234,9803.921875,9803.921875,9803.921875,0
2017-05-30,null,null,null,null,null,null
2017-05-31,null,null,null,null,null,null
2017-06-01,null,null,null,null,null,null
2017-06-02,null,null,null,null,null,null
2017-06-05,null,null,null,null,null,null
2017-06-06,null,null,null,null,null,null
2017-06-07,null,null,null,null,null,null
2017-06-08,null,null,null,null,null,null
2017-06-09,null,null,null,null,null,null
2017-06-12,null,null,null,null,null,null
2017-06-13,null,null,null,null,null,null
2017-06-14,null,null,null,null,null,null
2017-06-15,null,null,null,null,null,null
2017-06-16,null,null,null,null,null,null
2017-06-19,null,null,null,null,null,null
2017-06-20,null,null,null,null,null,null
2017-06-21,null,null,null,null,null,null
2017-06-22,null,null,null,null,null,null
2017-06-23,null,null,null,null,null,null
2017-06-26,null,null,null,null,null,null
2017-06-27,null,null,null,null,null,null
2017-06-28,null,null,null,null,null,null
2017-06-29,null,null,null,null,null,null
2017-06-30,null,null,null,null,null,null
2017-07-03,null,null,null,null,null,null
2017-07-04,9900.990234,9900.990234,9900.990234,9900.990234,9900.990234,0
2017-07-05,null,null,null,null,null,null
2017-07-06,null,null,null,null,null,null
2017-07-07,null,null,null,null,null,null
2017-07-10,null,null,null,null,null,null
2017-07-11,null,null,null,null,null,null
2017-07-12,null,null,null,null,null,null
2017-07-13,null,null,null,null,null,null
2017-07-14,null,null,null,null,null,null
2017-07-17,null,null,null,null,null,null
2017-07-18,null,null,null,null,null,null
2017-07-19,null,null,null,null,null,null
2017-07-20,null,null,null,null,null,null
2017-07-21,null,null,null,null,null,null
2017-07-24,null,null,null,null,null,null
2017-07-25,null,null,null,null,null,null
2017-07-26,null,null,null,null,null,null
2017-07-27,null,null,null,null,null,null
2017-07-28,9900.990234,9900.990234,9900.990234,9900.990234,9900.990234,0
2017-07-31,null,null,null,null,null,null
2017-08-01,null,null,null,null,null,null
2017-08-02,null,null,null,null,null,null
2017-08-03,null,null,null,null,null,null
2017-08-04,null,null,null,null,null,null
2017-08-07,null,null,null,null,null,null
2017-08-08,null,null,null,null,null,null
2017-08-09,9900.990234,9900.990234,9900.990234,9900.990234,9900.990234,0
2017-08-10,9900.990234,9900.990234,9900.990234,9900.990234,9900.990234,0
2017-08-11,9900.990234,9900.990234,9900.990234,9900.990234,9900.990234,0
2017-08-14,9900.990234,9900.990234,9803.921875,9803.921875,9803.921875,0
2017-08-15,9803.921875,9803.921875,9803.921875,9803.921875,9803.921875,0
2017-08-16,9803.921875,9803.921875,9803.921875,9803.921875,9803.921875,0
2017-08-17,9803.921875,9803.921875,9708.738281,9708.738281,9708.738281,0
2017-08-18,9708.738281,9708.738281,9708.738281,9708.738281,9708.738281,0
2017-08-21,9708.738281,9708.738281,9708.738281,9708.738281,9708.738281,0
2017-08-22,9708.738281,9708.738281,9615.384766,9615.384766,9615.384766,0
2017-08-23,null,null,null,null,null,null
2017-08-24,null,null,null,null,null,null
2017-08-25,null,null,null,null,null,null
2017-08-28,null,null,null,null,null,null
2017-08-29,null,null,null,null,null,null
2017-08-30,null,null,null,null,null,null
2017-08-31,null,null,null,null,null,null
2017-09-01,null,null,null,null,null,null
2017-09-04,9900.990234,9900.990234,9900.990234,9900.990234,9900.990234,0
2017-09-05,null,null,null,null,null,null
2017-09-06,null,null,null,null,null,null
2017-09-07,null,null,null,null,null,null
2017-09-08,null,null,null,null,null,null
2017-09-11,null,null,null,null,null,null
2017-09-12,null,null,null,null,null,null
2017-09-13,null,null,null,null,null,null
2017-09-14,null,null,null,null,null,null
2017-09-15,null,null,null,null,null,null
2017-09-18,null,null,null,null,null,null
2017-09-19,null,null,null,null,null,null
2017-09-20,null,null,null,null,null,null
2017-09-21,null,null,null,null,null,null
2017-09-22,null,null,null,null,null,null
2017-09-25,null,null,null,null,null,null
2017-09-26,null,null,null,null,null,null
2017-09-27,null,null,null,null,null,null
2017-09-28,null,null,null,null,null,null
2017-09-29,null,null,null,null,null,null
2017-10-02,9803.921875,9803.921875,9803.921875,9803.921875,9803.921875,0
2017-10-03,9803.921875,9803.921875,9803.921875,9803.921875,9803.921875,0
2017-10-04,null,null,null,null,null,null
2017-10-05,null,null,null,null,null,null
2017-10-06,null,null,null,null,null,null
2017-10-09,null,null,null,null,null,null
2017-10-10,null,null,null,null,null,null
2017-10-11,null,null,null,null,null,null
2017-10-12,null,null,null,null,null,null
2017-10-13,null,null,null,null,null,null
2017-10-16,null,null,null,null,null,null
2017-10-17,null,null,null,null,null,null
2017-10-18,null,null,null,null,null,null
2017-10-19,null,null,null,null,null,null
2017-10-20,null,null,null,null,null,null
2017-10-23,null,null,null,null,null,null
2017-10-24,null,null,null,null,null,null
2017-10-25,null,null,null,null,null,null
2017-10-26,null,null,null,null,null,null
2017-10-27,null,null,null,null,null,null
2017-10-30,null,null,null,null,null,null
2017-10-31,null,null,null,null,null,null
2017-11-01,null,null,null,null,null,null
2017-11-02,9174.311523,9174.311523,9090.909180,9090.909180,9090.909180,0
2017-11-03,null,null,null,null,null,null
2017-11-06,null,null,null,null,null,null
2017-11-07,9708.738281,9708.738281,9523.809570,9523.809570,9523.809570,0
2017-11-08,null,null,null,null,null,null
2017-11-09,null,null,null,null,null,null
2017-11-10,null,null,null,null,null,null
2017-11-13,null,null,null,null,null,null
2017-11-14,null,null,null,null,null,null
2017-11-15,null,null,null,null,null,null
2017-11-16,null,null,null,null,null,null
2017-11-17,9803.921875,9803.921875,9523.809570,9523.809570,9523.809570,0
2017-11-20,null,null,null,null,null,null
2017-11-21,null,null,null,null,null,null
2017-11-22,null,null,null,null,null,null
2017-11-23,null,null,null,null,null,null
2017-11-24,null,null,null,null,null,null
2017-11-27,null,null,null,null,null,null
2017-11-28,null,null,null,null,null,null
2017-11-29,null,null,null,null,null,null
2017-11-30,null,null,null,null,null,null
2017-12-01,null,null,null,null,null,null
2017-12-04,null,null,null,null,null,null
2017-12-05,null,null,null,null,null,null
2017-12-06,null,null,null,null,null,null
2017-12-07,null,null,null,null,null,null
2017-12-08,9523.809570,9523.809570,9345.793945,9345.793945,9345.793945,0
2017-12-11,null,null,null,null,null,null
2017-12-12,9900.990234,9900.990234,9708.738281,9708.738281,9708.738281,0
2017-12-13,9708.738281,9708.738281,9433.961914,9433.961914,9433.961914,0
2017-12-14,null,null,null,null,null,null
2017-12-15,null,null,null,null,null,null
2017-12-18,null,null,null,null,null,null
2017-12-19,null,null,null,null,null,null
2017-12-20,null,null,null,null,null,null
2017-12-21,null,null,null,null,null,null
2017-12-22,null,null,null,null,null,null
2017-12-25,null,null,null,null,null,null
2017-12-26,null,null,null,null,null,null
2017-12-27,9900.990234,9900.990234,9803.921875,9803.921875,9803.921875,0
2017-12-28,null,null,null,null,null,null
2017-12-29,null,null,null,null,null,null
2018-01-01,null,null,null,null,null,null
2018-01-02,null,null,null,null,null,null
2018-01-03,null,null,null,null,null,null
2018-01-04,null,null,null,null,null,null
2018-01-05,null,null,null,null,null,null
2018-01-08,null,null,null,null,null,null
2018-01-09,null,null,null,null,null,null
2018-01-10,null,null,null,null,null,null
2018-01-11,null,null,null,null,null,null
2018-01-12,null,null,null,null,null,null
2018-01-15,9900.990234,9900.990234,9900.990234,9900.990234,9900.990234,0
2018-01-16,null,null,null,null,null,null
2018-01-17,null,null,null,null,null,null
2018-01-18,null,null,null,null,null,null
2018-01-19,null,null,null,null,null,null
2018-01-22,null,null,null,null,null,null
2018-01-23,null,null,null,null,null,null
2018-01-24,null,null,null,null,null,null
2018-01-25,null,null,null,null,null,null
2018-01-26,null,null,null,null,null,null
2018-01-29,null,null,null,null,null,null
2018-01-30,null,null,null,null,null,null
2018-01-31,null,null,null,null,null,null
2018-02-01,null,null,null,null,null,null
2018-02-02,null,null,null,null,null,null
2018-02-05,null,null,null,null,null,null
2018-02-06,4.003202,4.005608,4.003202,4.005608,4.005608,0
2018-02-07,4.004004,4.004806,4.004004,4.004806,4.004806,0
2018-02-08,4.004806,4.008016,4.004806,4.008016,4.008016,0
2018-02-09,4.008016,4.010427,4.008016,4.010427,4.010427,0
2018-02-12,4.012036,4.012036,4.007213,4.007213,4.007213,0
2018-02-13,4.007213,4.007213,4.005608,4.006411,4.006411,0
2018-02-14,4.006411,4.006411,4.004004,4.004004,4.004004,0
2018-02-15,4.004004,4.008016,4.004004,4.008016,4.008016,0
2018-02-16,4.008016,4.008016,4.007213,4.008016,4.008016,0
2018-02-19,null,null,null,null,null,null
2018-02-20,4.007213,4.008016,4.007213,4.008016,4.008016,0
2018-02-21,4.008016,4.008016,4.007213,4.008016,4.008016,0
2018-02-22,4.008016,4.008016,4.005608,4.005608,4.005608,0
2018-02-23,3.457217,3.457814,3.457217,3.457217,3.457217,0
2018-02-26,3.457217,3.459011,3.457217,3.457217,3.457217,0
2018-02-27,3.457217,3.457814,3.457217,3.457217,3.457217,0
